id,party_id,type_id
1,982,36
2,603,36
3,1160,36
4,1570,36
6,1173,36
7,1653,36
8,698,39
9,1591,36
10,422,36
11,519,36
12,1277,36
13,1260,36
14,883,14
15,309,36
16,1520,36
17,1077,36
18,664,36
19,269,36
20,629,36
21,830,36
22,419,36
23,958,36
24,713,36
25,1120,36
26,562,36
27,44,36
28,1415,36
29,1252,36
30,706,36
31,470,39
32,1180,9
33,689,9
34,1696,38
36,112,39
37,1549,39
38,1711,39
43,599,39
44,544,39
45,535,39
46,535,22
50,19,39
51,872,39
52,872,22
53,1395,39
54,1395,25
55,1395,39
56,552,39
57,1137,39
58,1137,39
59,924,39
60,924,2
61,428,39
62,428,39
63,95,39
64,95,22
65,870,39
66,870,2
67,870,22
68,698,36
70,24,38
71,407,37
73,1327,16
74,1582,39
75,1521,38
76,951,25
77,323,8
78,98,8
79,831,8
80,386,39
81,171,39
82,1440,39
83,993,39
85,290,22
87,364,22
88,922,22
89,1052,22
90,931,22
91,1157,22
92,1466,22
94,628,39
95,564,39
97,29,22
98,795,22
99,1506,39
100,524,39
101,1537,39
102,285,26
103,270,39
104,1263,22
105,1250,22
106,1126,39
107,484,22
108,1179,22
109,600,22
110,584,22
112,176,39
113,1729,22
114,383,22
115,432,22
116,1502,22
117,374,22
118,1557,22
120,521,22
121,209,39
124,713,22
125,648,22
129,586,22
130,20,22
131,1072,22
132,1546,22
137,1536,25
141,1500,39
142,653,25
143,1720,25
146,693,25
147,1400,25
148,456,25
149,710,42
150,491,42
153,749,42
154,978,39
155,1450,42
157,1743,25
158,1744,39
159,1745,39
160,404,42
161,1010,9
162,802,9
163,733,37
164,1587,37
165,921,39
170,669,42
171,1436,40
172,1436,39
173,200,40
174,200,25
175,1418,39
176,147,38
180,1758,39
181,1758,22
182,120,39
183,751,39
184,386,22
185,769,39
186,50,39
187,1744,42
188,1745,42
189,708,39
190,1440,22
191,993,22
192,361,39
194,1594,39
195,470,37
196,171,22
197,748,39
198,460,39
199,580,39
200,448,39
201,556,39
202,677,39
203,897,39
204,1392,39
205,1239,39
206,367,39
207,1418,25
208,538,39
209,189,39
210,806,39
211,638,39
212,270,22
213,898,39
214,516,39
215,1176,39
216,1131,39
217,649,39
218,1420,39
219,1506,22
220,187,39
221,292,39
222,292,37
223,1537,22
224,791,39
225,524,22
226,210,39
227,1172,39
228,433,39
229,1489,39
230,409,39
231,1321,39
233,1304,39
234,1560,39
235,1050,39
236,176,22
237,1436,25
238,421,39
239,1424,39
240,1296,39
242,1028,39
243,1593,39
244,1080,39
245,1540,39
246,1723,39
247,310,39
248,315,39
249,209,22
250,275,39
251,1194,39
252,525,39
253,1595,39
254,112,37
255,756,39
256,87,39
257,1452,39
258,1251,39
259,625,39
260,357,39
261,1,39
262,1,37
263,1444,39
264,1171,39
266,1636,39
267,27,39
268,1638,39
269,1264,39
270,1318,39
271,1167,39
272,1602,39
273,628,22
274,964,39
275,564,22
276,1500,25
278,467,39
279,1126,22
280,311,39
281,1284,39
282,1760,39
283,1761,39
284,1763,6
285,561,26
286,979,42
287,1649,42
288,1764,14
289,109,37
290,466,19
291,443,22
292,1576,37
293,1162,22
294,1768,22
295,1776,22
296,1606,60
297,351,60
298,62,9
300,941,9
304,1275,37
305,837,63
310,1818,39
311,1819,22
312,1819,41
322,1891,14
324,74,11
325,1892,26
327,1894,11
328,1891,67
329,1317,67
330,1496,26
331,1945,68
333,1964,9
334,1792,37
336,1975,67
338,1992,25
341,1369,70
342,1933,26
343,184,2
347,2022,38
348,990,79
350,1254,40
351,204,38
352,2046,63
353,301,79
354,1965,67
355,2060,6
356,2063,3
357,231,3
358,1042,36
359,1043,39
360,1667,26
361,972,3
362,111,22
363,267,22
364,1330,6
365,1713,40
366,2066,11
367,350,6
368,840,3
369,883,36
370,841,14
371,67,26
372,1444,27
373,2034,80
374,2057,80
375,2055,80
376,2052,80
377,2067,80
378,2058,80
379,2056,80
380,2054,80
381,2059,80
382,2070,80
383,2053,80
384,177,14
386,2079,40
387,2082,9
388,2083,14
389,1169,42
390,339,42
391,1024,63
392,1790,9
393,2084,3
394,2085,11
395,356,3
396,2096,6
397,2092,22
398,2091,25
399,1582,37
400,2101,2
401,2103,42
402,2106,37
403,1362,22
404,108,81
405,321,27
406,321,81
407,17,81
408,2107,80
